miRNA	ID
aca-mir-181b-1	MI0018778
aca-mir-181b-2	MI0018779
aca-mir-182	MI0018780
aca-miR-182	MIMAT0021811
aca-miR-182*	MIMAT0021812
aca-miR-182-3p	MIMAT0021812
aca-miR-182-5p	MIMAT0021811
aca-mir-184	MI0018781
aca-miR-184	MIMAT0021814
aca-miR-184*	MIMAT0021813
aca-miR-184-3p	MIMAT0021814
aca-miR-184-5p	MIMAT0021813
aca-mir-187	MI0018782
aca-miR-187	MIMAT0021816
aca-miR-187*	MIMAT0021815
aca-miR-187-3p	MIMAT0021816
aca-miR-187-5p	MIMAT0021815
aca-mir-18a	MI0018783
aca-miR-18a	MIMAT0021817
aca-miR-18a*	MIMAT0021818
aca-miR-18a-3p	MIMAT0021818
aca-miR-18a-5p	MIMAT0021817
aca-mir-18b	MI0018784
aca-miR-18b	MIMAT0021819
aca-miR-18b*	MIMAT0021820
aca-miR-18b-3p	MIMAT0021820
aca-miR-18b-5p	MIMAT0021819
aca-mir-190a	MI0018785
aca-miR-190a	MIMAT0021821
aca-miR-190a*	MIMAT0021822
aca-miR-190a-3p	MIMAT0021822
aca-miR-190a-5p	MIMAT0021821
aca-mir-190b	MI0018786
aca-miR-190b	MIMAT0021823
aca-mir-191	MI0018787
aca-miR-191	MIMAT0021824
aca-miR-191*	MIMAT0021825
aca-miR-191-3p	MIMAT0021825
aca-miR-191-5p	MIMAT0021824
aca-mir-193	MI0018788
aca-miR-193	MIMAT0021827
aca-miR-193*	MIMAT0021826
aca-miR-193-3p	MIMAT0021827
aca-miR-193-5p	MIMAT0021826
aca-miR-194	MIMAT0021828
aca-mir-194-1	MI0018789
aca-miR-194-1*	MIMAT0021829
aca-miR-194-1-3p	MIMAT0021829
aca-mir-194-2	MI0018790
aca-miR-194-2*	MIMAT0021830
aca-miR-194-2-3p	MIMAT0021830
aca-miR-194-5p	MIMAT0021828
aca-miR-196a	MIMAT0021831
aca-mir-196a-1	MI0018791
aca-mir-196a-2	MI0018792
aca-mir-196c	MI0018793
aca-miR-196c	MIMAT0021832
aca-miR-196c*	MIMAT0021833
aca-miR-196c-3p	MIMAT0021833
aca-miR-196c-5p	MIMAT0021832
aca-mir-199a-1	MI0018794
aca-mir-199a-2	MI0018795
aca-miR-199a-5p	MIMAT0021834
aca-mir-199b	MI0018796
aca-miR-199b-5p	MIMAT0021835
aca-mir-19a	MI0018797
aca-miR-19a	MIMAT0021837
aca-miR-19a*	MIMAT0021836
aca-miR-19a-3p	MIMAT0021837
aca-miR-19a-5p	MIMAT0021836
aca-mir-19b	MI0018798
aca-miR-19b	MIMAT0021838
aca-miR-1a	MIMAT0021840
aca-mir-1a-1	MI0018799
aca-miR-1a-1*	MIMAT0021839
aca-miR-1a-1-5p	MIMAT0021839
aca-mir-1a-2	MI0018800
aca-miR-1a-2*	MIMAT0021841
aca-miR-1a-2-5p	MIMAT0021841
aca-miR-1a-3p	MIMAT0021840
aca-mir-1b	MI0018801
aca-miR-1b	MIMAT0021843
aca-miR-1b*	MIMAT0021842
aca-miR-1b-3p	MIMAT0021843
aca-miR-1b-5p	MIMAT0021842
aca-mir-200a	MI0018802
aca-miR-200a	MIMAT0021845
aca-miR-200a*	MIMAT0021844
aca-miR-200a-3p	MIMAT0021845
aca-miR-200a-5p	MIMAT0021844
aca-mir-200b	MI0018803
aca-miR-200b	MIMAT0021847
aca-miR-200b*	MIMAT0021846
aca-miR-200b-3p	MIMAT0021847
aca-miR-200b-5p	MIMAT0021846
aca-mir-202	MI0018804
aca-miR-202.1	MIMAT0021850
aca-miR-202.2	MIMAT0021849
aca-miR-202-3p.1	MIMAT0021850
aca-miR-202-5p	MIMAT0021848
aca-miR-202-5p.2	MIMAT0021849
aca-mir-203	MI0018805
aca-miR-203	MIMAT0021852
aca-miR-203*	MIMAT0021851
aca-miR-203-3p	MIMAT0021852
aca-miR-203-5p	MIMAT0021851
aca-miR-204a	MIMAT0021853
aca-miR-204a*	MIMAT0021854
aca-mir-204a-1	MI0018806
aca-mir-204a-2	MI0018807
aca-miR-204a-3p	MIMAT0021854
aca-miR-204a-5p	MIMAT0021853
aca-mir-205a	MI0018808
aca-miR-205a	MIMAT0021855
aca-mir-205b	MI0018809
aca-miR-205b	MIMAT0021856
aca-mir-206	MI0018810
aca-miR-206	MIMAT0021858
aca-miR-206*	MIMAT0021857
aca-miR-206-3p	MIMAT0021858
aca-miR-206-5p	MIMAT0021857
aca-mir-208	MI0018811
aca-miR-208	MIMAT0021860
aca-miR-208*	MIMAT0021859
aca-miR-208-3p	MIMAT0021860
aca-miR-208-5p	MIMAT0021859
aca-mir-20a	MI0018812
aca-miR-20a	MIMAT0021861
aca-miR-20a*	MIMAT0021862
aca-miR-20a-3p	MIMAT0021862
aca-miR-20a-5p	MIMAT0021861
aca-mir-20b	MI0018813
aca-miR-20b	MIMAT0021863
aca-miR-20b*	MIMAT0021864
aca-miR-20b-3p	MIMAT0021864
aca-miR-20b-5p	MIMAT0021863
aca-mir-21	MI0018814
aca-miR-21	MIMAT0021865
aca-miR-21*	MIMAT0021866
aca-mir-210	MI0018815
aca-miR-210	MIMAT0021868
aca-miR-210*	MIMAT0021867
aca-miR-210-3p	MIMAT0021868
aca-miR-210-5p	MIMAT0021867
aca-mir-212	MI0018816
aca-miR-212	MIMAT0021870
aca-miR-212*	MIMAT0021869
aca-miR-212-3p	MIMAT0021870
aca-miR-212-5p	MIMAT0021869
aca-miR-21-3p	MIMAT0021866
aca-mir-214	MI0018817
aca-miR-214	MIMAT0021872
aca-miR-214*	MIMAT0021871
aca-miR-214-3p	MIMAT0021872
aca-miR-214-5p	MIMAT0021871
aca-mir-215	MI0018818
aca-miR-215	MIMAT0021873
aca-miR-215*	MIMAT0021874
aca-miR-215-3p	MIMAT0021874
aca-miR-215-5p	MIMAT0021873
aca-miR-21-5p	MIMAT0021865
aca-mir-216a	MI0018819
aca-miR-216a	MIMAT0021875
aca-mir-216b	MI0018820
aca-miR-216b	MIMAT0021876
aca-miR-216b*	MIMAT0021877
aca-miR-216b-3p	MIMAT0021877
aca-miR-216b-5p	MIMAT0021876
aca-mir-217	MI0018821
aca-miR-217	MIMAT0021878
aca-miR-217*	MIMAT0021879
aca-miR-217-3p	MIMAT0021879
aca-miR-217-5p	MIMAT0021878
aca-miR-218	MIMAT0021880
aca-miR-218*	MIMAT0021881
aca-mir-218-1	MI0018822
aca-mir-218-2	MI0018823
aca-miR-218-3p	MIMAT0021881
aca-miR-218-5p	MIMAT0021880
aca-mir-2188	MI0018824
aca-miR-2188	MIMAT0021882
aca-miR-2188*	MIMAT0021883
