miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-449b	white	MI0003673	MIMAT0003327	MIMAT0009203	
mir-449c	white	MI0003823	MIMAT0010251	MIMAT0013771	
mir-450a-1	white	MI0001652	MIMAT0001545	MIMAT0022700	
mir-450a-2	white	MI0003187	MIMAT0001545	MIMAT0031074	
mir-450b	white	MI0005531	MIMAT0004909	MIMAT0004910	
mir-452	white	MI0001733	MIMAT0001635	MIMAT0001636	
mir-454	white	MI0003820	MIMAT0003884	MIMAT0003885	
mir-455	white	MI0003513	MIMAT0003150	MIMAT0004784	
mir-483	white	MI0002467	MIMAT0004761	MIMAT0002173	
mir-485	white	MI0002469	MIMAT0002175	MIMAT0002176	
mir-486-1	white	MI0002470	MIMAT0002177	MIMAT0004762	
mir-487a	white	MI0002471	MIMAT0026559	MIMAT0002178	
mir-487b	white	MI0003530	MIMAT0026614	MIMAT0003180	
mir-488	white	MI0003123	MIMAT0002804	MIMAT0004763	
mir-489	white	MI0003124	MIMAT0026605	MIMAT0002805	
mir-490	white	MI0003125	MIMAT0004764	MIMAT0002806	
mir-491	white	MI0003126	MIMAT0002807	MIMAT0004765	
mir-493	white	MI0003132	MIMAT0002813	MIMAT0003161	
mir-494	white	MI0003134	MIMAT0026607	MIMAT0002816	
mir-495	white	MI0003135	MIMAT0022924	MIMAT0002817	
mir-496	white	MI0003136			MIMAT0002818
mir-497	white	MI0003138	MIMAT0002820	MIMAT0004768	
mir-499a	white	MI0003183	MIMAT0002870	MIMAT0004772	
mir-500a	white	MI0003184	MIMAT0004773	MIMAT0002871	
mir-500b	white	MI0015903	MIMAT0016925	MIMAT0027032	
mir-501	white	MI0003185	MIMAT0002872	MIMAT0004774	
mir-502	white	MI0003186	MIMAT0002873	MIMAT0004775	
mir-503	white	MI0003188	MIMAT0002874	MIMAT0022925	
mir-504	white	MI0003189	MIMAT0002875	MIMAT0026612	
mir-505	white	MI0003190	MIMAT0004776	MIMAT0002876	
mir-506	white	MI0003193	MIMAT0022701	MIMAT0002878	
mir-507	white	MI0003194			MIMAT0002879
mir-508	white	MI0003195	MIMAT0004778	MIMAT0002880	
mir-509-1	white	MI0003196	MIMAT0004779	MIMAT0002881	
mir-509-2	white	MI0005530	MIMAT0004779	MIMAT0002881	
mir-509-3	white	MI0005717	MIMAT0004975	MIMAT0002881	
mir-510	white	MI0003197	MIMAT0002882	MIMAT0026613	
mir-511	white	MI0003127	MIMAT0002808	MIMAT0026606	
mir-512-1	white	MI0003140	MIMAT0002822	MIMAT0002823	
mir-512-2	white	MI0003141	MIMAT0002822	MIMAT0002823	
mir-513a-1	white	MI0003191	MIMAT0002877	MIMAT0004777	
mir-513a-2	white	MI0003192	MIMAT0002877	MIMAT0004777	
mir-513b	white	MI0006648	MIMAT0005788	MIMAT0026749	
mir-513c	white	MI0006649	MIMAT0005789	MIMAT0022728	
mir-514a-1	white	MI0003198	MIMAT0022702	MIMAT0002883	
mir-514a-2	white	MI0003199	MIMAT0022702	MIMAT0002883	
mir-514b	white	MI0014251	MIMAT0015087	MIMAT0015088	
mir-515-1	white	MI0003144	MIMAT0002826	MIMAT0002827	
mir-515-2	white	MI0003147	MIMAT0002826	MIMAT0002827	
mir-516a-1	white	MI0003180	MIMAT0004770	MIMAT0006778	
mir-516a-2	white	MI0003181	MIMAT0004770	MIMAT0006778	
mir-516b-1	white	MI0003172	MIMAT0002859	MIMAT0002860	
mir-516b-2	white	MI0003167	MIMAT0002859	MIMAT0002860	
mir-517a	white	MI0003161	MIMAT0002851	MIMAT0002852	
mir-517b	white	MI0003165	MIMAT0002851	MIMAT0002857	
mir-517c	white	MI0003174	MIMAT0002851	MIMAT0002866	
mir-518a-1	white	MI0003170	MIMAT0005457	MIMAT0002863	
mir-518a-2	white	MI0003173	MIMAT0005457	MIMAT0002863	
mir-518b	white	MI0003156			MIMAT0002844
mir-518c	white	MI0003159	MIMAT0002847	MIMAT0002848	
