miRNA	status
mir-3609 	rejected
mir-3610 	rejected
mir-3615 	rejected
mir-3616 	rejected
mir-3620 	rejected
mir-3646 	rejected
mir-3648-1 	rejected
mir-3648-2	rejected
mir-3649 	rejected
mir-3651 	rejected
mir-3652 	rejected
mir-3653 	rejected
mir-3654 	rejected
mir-3655 	rejected
mir-3656 	rejected
mir-3657 	rejected
mir-3658 	rejected
mir-3659 	rejected
mir-3661 	rejected
mir-3664 	rejected
mir-3665 	rejected
mir-3666 	rejected
mir-3667 	rejected
mir-3670-1 	rejected
mir-3670-2 	rejected
mir-3670-3	rejected
mir-3670-4	rejected
mir-3671 	rejected
mir-3674 	rejected
mir-3675 	rejected
mir-3677 	rejected
mir-3678 	rejected
mir-3680-1 	rejected
mir-3680-2 	rejected
mir-3682 	rejected
mir-3685 	rejected
mir-3687-1 	rejected
mir-3687-2	rejected
mir-3689a 	rejected
mir-3689b 	rejected
mir-3689c 	rejected
mir-3689d-1 	rejected
mir-3689d-2 	rejected
mir-3689e 	rejected
mir-3689f 	rejected
mir-3691 	rejected
mir-3692 	rejected
mir-3907 	rejected
mir-3908 	rejected
mir-3912 	rejected
mir-3913-1 	rejected
mir-3913-2 	rejected
mir-3914-1 	rejected
mir-3916 	rejected
mir-3917 	rejected
mir-3921 	rejected
mir-3922 	rejected
mir-3925 	rejected
mir-3926-1 	rejected
mir-3928 	rejected
mir-3929 	rejected
mir-3934 	rejected
mir-3939 	rejected
mir-3941 	rejected
mir-3945 	rejected
mir-3960 	rejected
mir-3973 	rejected
mir-3974 	rejected
mir-3976 	rejected
mir-3977 	rejected
mir-3978 	rejected
mir-4251 	rejected
mir-4252 	rejected
mir-4253 	rejected
mir-4254 	rejected
mir-4255 	rejected
mir-4256 	rejected
mir-4257 	rejected
mir-4258 	rejected
mir-4259 	rejected
mir-4260 	rejected
mir-4261 	rejected
mir-4262 	rejected
mir-4263 	rejected
mir-4264 	rejected
mir-4265 	rejected
mir-4266 	rejected
mir-4267 	rejected
mir-4269 	rejected
mir-4271 	rejected
mir-4272 	rejected
mir-4273 	rejected
mir-4274 	rejected
mir-4275 	rejected
mir-4276 	rejected
mir-4278 	rejected
mir-4279 	rejected
mir-4281 	rejected
mir-4282 	rejected
mir-4283-1 	rejected
mir-4283-2 	rejected
mir-4284 	rejected
mir-4285 	rejected
mir-4286 	rejected
mir-4287 	rejected
mir-4288 	rejected
mir-4289 	rejected
mir-4290 	rejected
mir-4291 	rejected
mir-4292 	rejected
mir-4293 	rejected
mir-4294 	rejected
mir-4295 	rejected
mir-4296 	rejected
mir-4297 	rejected
mir-4298 	rejected
mir-4299 	rejected
mir-4300 	rejected
mir-4302 	rejected
mir-4303 	rejected
mir-4304 	rejected
mir-4305 	rejected
mir-4306 	rejected
mir-4307 	rejected
mir-4308 	rejected
mir-4309 	rejected
mir-4310 	rejected
mir-4311 	rejected
mir-4312 	rejected
mir-4314 	rejected
mir-4315-1 	rejected
mir-4315-2 	rejected
mir-4316 	rejected
mir-4317 	rejected
mir-4318 	rejected
mir-4319 	rejected
mir-4320 	rejected
mir-4321 	rejected
mir-4322 	rejected
mir-4323 	rejected
mir-4324 	rejected
mir-4325 	rejected
mir-4326 	rejected
mir-4328 	rejected
mir-4329 	rejected
mir-4330 	rejected
mir-4417 	rejected
mir-4418 	rejected
mir-4419a 	rejected
mir-4419b 	rejected
mir-4422 	rejected
mir-4423 	rejected
mir-4426 	rejected
mir-4430 	rejected
mir-4431 	rejected
mir-4432 	rejected
mir-4433 	rejected
mir-4434 	rejected
mir-4436a 	rejected
mir-4436b-1 	rejected
mir-4436b-2 	rejected
mir-4437 	rejected
mir-4441 	rejected
mir-4442 	rejected
mir-4443 	rejected
mir-4444-1 	rejected
mir-4444-2 	rejected
mir-4445 	rejected
mir-4446 	rejected
mir-4447 	rejected
mir-4448 	rejected
mir-4449 	rejected
mir-4451 	rejected
mir-4452 	rejected
mir-4453 	rejected
mir-4454 	rejected
mir-4455 	rejected
mir-4456 	rejected
mir-4459 	rejected
mir-4461 	rejected
mir-4463 	rejected
mir-4464 	rejected
mir-4466 	rejected
mir-4468 	rejected
mir-4470 	rejected
mir-4472-1 	rejected
mir-4472-2 	rejected
mir-4473 	rejected
mir-4474 	rejected
mir-4476 	rejected
mir-4478 	rejected
mir-4479 	rejected
mir-4481 	rejected
mir-4483 	rejected
mir-4484 	rejected
mir-4485 	rejected
mir-4486 	rejected
mir-4487 	rejected
mir-4488 	rejected
mir-4489 	rejected
mir-4491 	rejected
mir-4492 	rejected
mir-4496 	rejected
mir-4497 	rejected
mir-4499 	rejected
mir-4500 	rejected
mir-4502 	rejected
mir-4504 	rejected
mir-4505 	rejected
mir-4508 	rejected
mir-4510 	rejected
mir-4511 	rejected
